epoch,loss,out_caps_acc,out_caps_loss,out_recon_loss,val_loss,val_out_caps_acc,val_out_caps_loss,val_out_recon_loss
0,0.17758343998911016,0.8102754237288136,0.1775004235364623,0.1660326837104256,0.03952868280666215,0.9752380951245626,0.03949352704343342,0.07031164804384822
1,0.048040844651602084,0.9668432203389831,0.04800998084247112,0.061727622605986514,0.031362247459945224,0.9847619049889701,0.031328416090636024,0.06766272942225138
2,0.03380704543912466,0.9771425541447643,0.03377665524790992,0.0607804615282891,0.02564222662931397,0.9859523808388483,0.025608727726198377,0.06699768599300157
3,0.030281309290962705,0.9786016949152543,0.0302509819331058,0.06065477132797241,0.017690139079377765,0.9911904760769435,0.017656922219764618,0.06643399648013569
4,0.023705482649655225,0.9839308442935936,0.023675348597436852,0.06026824402212338,0.022577272816782908,0.9869047621318272,0.02254439910252889,0.06574789455958775
5,0.021244536862724414,0.9844279661016949,0.02121476674831267,0.059540248864282996,0.01586931300305185,0.9890476192746843,0.01583678601043565,0.06505386958519618
6,0.017623089546299,0.9879613916500676,0.017593458778508195,0.05926150197023348,0.012845983093693144,0.9923809523809524,0.012813957076342333,0.06405224011767478
7,0.017551238361304088,0.9867584745762712,0.017521847367791808,0.05878196824657715,0.012076084569451355,0.9911904761904762,0.012044428753710928,0.06331168554368473
8,0.01643128917616937,0.9870598218579589,0.01640209512872796,0.05838809279336937,0.011003084952632585,0.9909523811794463,0.010971866140053386,0.06243755781934375
9,0.01366044607376522,0.9900423728813559,0.013631496220921814,0.057899718605360743,0.011661126439770063,0.9914285716556367,0.01163014560583092,0.061961797525485356
